交易日期,股票数量,买入股票代码,买入股票名称,下周期净值
2009-04-30,20,sh600028 sh600089 sh600197 sh600202 sh600236 sh600289 sh600325 sh600395 sh600415 sh600479 sh600557 sh600600 sh600675 sh600748 sz000429 sz000513 sz000550 sz000630 sz002024 sz002194 ,中国石化 特变电工 伊力特 哈空调 桂冠电力 亿阳信通 华发股份 盘江股份 小商品城 千金药业 康缘药业 青岛啤酒 中华企业 上实发展 粤高速Ａ 丽珠集团 江铃汽车 铜陵有色 苏宁电器 武汉凡谷 ,0.9942913120543582
2009-08-31,20,sh600028 sh600197 sh600395 sh600439 sh600557 sh600559 sh600600 sh600675 sh600718 sh600978 sz000418 sz000425 sz000513 sz000527 sz000539 sz000651 sz000708 sz000969 sz002024 sz002068 ,中国石化 伊力特 盘江股份 瑞贝卡 康缘药业 老白干酒 青岛啤酒 中华企业 东软集团 宜华木业 小天鹅Ａ 徐工科技 丽珠集团 美的电器 粤电力Ａ 格力电器 大冶特钢 安泰科技 苏宁电器 黑猫股份 ,1.2263756054183665
2009-10-30,20,sh600028 sh600202 sh600236 sh600395 sh600415 sh600557 sh600559 sh600865 sh600978 sh601857 sz000425 sz000513 sz000539 sz000550 sz000600 sz000651 sz002024 sz002056 sz002085 sz002194 ,中国石化 哈空调 桂冠电力 盘江股份 小商品城 康缘药业 老白干酒 百大集团 宜华木业 中国石油 徐工机械 丽珠集团 粤电力Ａ 江铃汽车 建投能源 格力电器 苏宁电器 横店东磁 万丰奥威 武汉凡谷 ,1.0824428371431287
2010-04-30,20,sh600067 sh600104 sh600193 sh600197 sh600231 sh600600 sh600660 sh600742 sh600829 sh601006 sh601607 sh601919 sz000338 sz000410 sz000425 sz000612 sz000898 sz000933 sz002106 sz002254 ,冠城大通 上海汽车 创兴置业 伊力特 凌钢股份 青岛啤酒 福耀玻璃 一汽富维 三精制药 大秦铁路 上海医药 中国远洋 潍柴动力 沈阳机床 徐工机械 焦作万方 鞍钢股份 神火股份 莱宝高科 烟台氨纶 ,1.0563373791688044
2010-08-31,20,sh600104 sh600139 sh600382 sh600436 sh600742 sh600829 sh601006 sh601607 sh601666 sz000338 sz000410 sz000598 sz000898 sz000973 sz001872 sz002065 sz002106 sz002122 sz002152 sz002254 ,上海汽车 西部资源 广东明珠 片仔癀 一汽富维 三精制药 大秦铁路 上海医药 平煤股份 潍柴动力 沈阳机床 兴蓉投资 鞍钢股份 佛塑股份 招商港口 东华软件 莱宝高科 天马股份 广电运通 烟台氨纶 ,1.2070715346991137
2010-10-29,20,sh600029 sh600104 sh600171 sh600354 sh600382 sh600436 sh600549 sh600582 sh600739 sh600828 sh601607 sz000410 sz000860 sz000999 sz002065 sz002085 sz002106 sz002152 sz002155 sz002254 ,南方航空 上海汽车 上海贝岭 敦煌种业 广东明珠 片仔癀 厦门钨业 天地科技 辽宁成大 成商集团 上海医药 沈阳机床 顺鑫农业 华润三九 东华软件 万丰奥威 莱宝高科 广电运通 辰州矿业 烟台氨纶 ,0.8847618962782293
2011-04-29,20,sh600085 sh600395 sh600409 sh600535 sh600546 sh600559 sh600597 sh600704 sh600805 sh600809 sh600970 sz000651 sz000858 sz002004 sz002032 sz002081 sz002249 sz002326 sz002340 sz300010 ,同仁堂 盘江股份 三友化工 天士力 山煤国际 老白干酒 光明乳业 中大股份 悦达投资 山西汾酒 中材国际 格力电器 五粮液 华邦制药 苏泊尔 金螳螂 大洋电机 永太科技 格林美 立思辰 ,1.0333380070036986
2011-08-31,20,sh600123 sh600219 sh600415 sh600741 sh600805 sh600875 sh600887 sz000400 sz000402 sz000527 sz000651 sz000877 sz002004 sz002032 sz002081 sz002129 sz002216 sz002249 sz002340 sz002407 ,兰花科创 南山铝业 小商品城 华域汽车 悦达投资 东方电气 伊利股份 许继电气 金融街 美的电器 格力电器 天山股份 华邦制药 苏泊尔 金螳螂 中环股份 三全食品 大洋电机 格林美 多氟多 ,0.9207949672364991
2011-10-31,20,sh600055 sh600123 sh600395 sh600415 sh600875 sh600887 sz000400 sz000402 sz000527 sz000858 sz000877 sz000998 sz002004 sz002032 sz002081 sz002092 sz002129 sz002340 sz002407 sz002415 ,万东医疗 兰花科创 盘江股份 小商品城 东方电气 伊利股份 许继电气 金融街 美的电器 五粮液 天山股份 隆平高科 华邦制药 苏泊尔 金螳螂 中泰化学 中环股份 格林美 多氟多 海康威视 ,0.9216904754743585
2012-04-27,20,sh600108 sh600196 sh600251 sh600395 sh600436 sh600535 sh600559 sh600582 sh600993 sh601666 sz000069 sz000400 sz000629 sz000651 sz000963 sz000970 sz002032 sz002038 sz002311 sz002570 ,亚盛集团 复星医药 冠农股份 盘江股份 片仔癀 天士力 老白干酒 天地科技 马应龙 平煤股份 华侨城Ａ 许继电气 攀钢钒钛 格力电器 华东医药 中科三环 苏泊尔 双鹭药业 海大集团 贝因美 ,0.9815045236896133
